iter	Logloss
0	0.5854750263
1	0.4816415889
2	0.4053048638
3	0.3479551652
4	0.2943328867
5	0.2477105782
6	0.2094197496
7	0.179445062
8	0.1556539983
9	0.1382899374
10	0.1216230393
11	0.1102250367
12	0.0973731976
13	0.08693010182
14	0.07796687916
15	0.07095777303
16	0.06538119958
17	0.06039833216
18	0.05651452693
19	0.05313282388
20	0.05013136549
21	0.0471439078
22	0.04489572276
23	0.0428194829
24	0.04109767891
25	0.03968899564
26	0.03846884926
27	0.03697137132
28	0.03602935442
29	0.0352100554
30	0.03417018452
31	0.03350737346
32	0.03284480395
33	0.03209328882
34	0.03162190937
35	0.03123922581
36	0.03069071507
37	0.03022834121
38	0.02978250849
39	0.02942286187
40	0.02916648464
41	0.02883033867
42	0.02868548253
43	0.02855329076
44	0.02841283002
45	0.02827080735
46	0.02816653642
47	0.02792432549
48	0.02771904313
49	0.02762097671
50	0.02754499199
51	0.02742997139
52	0.02730866533
53	0.02715755859
54	0.02705159192
55	0.02688223962
56	0.02681321122
57	0.02677186202
58	0.02672125459
59	0.02662405226
60	0.02650460874
61	0.02645907715
62	0.02640253415
63	0.0263511434
64	0.02629005788
65	0.02624866635
66	0.02615108897
67	0.0260484016
